model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,nobif,7.5,4,1,Base Decipher (z),0.4862460520317981,,,,0.9548139438387596,0.9506513958733016,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed4_native_nobif_z.h5ad,,203.3
native,genes,bif,0.1,5,1,Base Decipher (genes),0.9803183391023691,0.9688514196832959,0.9709386871571429,0.4372125566005707,0.8595148571637699,0.7523254713327107,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed5_native_bif_genes.h5ad,,190.3
native,z,nobif,10.0,5,1,Base Decipher (z),0.5686353369410911,,,,0.9693265236902995,0.977137884063654,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed5_native_nobif_z.h5ad,,213.2
native,z,nobif,7.5,5,1,Base Decipher (z),0.6514080084151808,,,,0.9695062696739979,0.9723788380956457,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed5_native_nobif_z.h5ad,,228.3
native,genes,bif,0.1,3,1,Base Decipher (genes),0.9946056933256294,0.9932332035805342,0.993985534987492,0.47030964493751526,0.9466700592785874,0.904538723670385,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed3_native_bif_genes.h5ad,,217.2
native,z,nobif,7.5,3,1,Base Decipher (z),0.727672244723707,,,,0.9681148397018624,0.9596066719217663,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed3_native_nobif_z.h5ad,,253.1
native,genes,bif,0.5,4,1,Base Decipher (genes),0.949636741974715,0.8884536579240565,0.9273397349580235,0.20273466408252716,0.7807182588529484,0.6381815315867707,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed4_native_bif_genes.h5ad,,198.5
native,genes,bif,0.5,3,1,Base Decipher (genes),0.9507719598056887,0.9593414504478947,0.9698529614351595,0.503051221370697,0.8948219326798117,0.8269738265775997,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed3_native_bif_genes.h5ad,,215.7
native,z,nobif,10.0,3,1,Base Decipher (z),0.8427553533747021,,,,0.9702896038322086,0.9642921546243626,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed3_native_nobif_z.h5ad,,253.7
native,genes,bif,0.5,5,1,Base Decipher (genes),0.9341815920142086,0.9594391441624562,0.8337452392938476,0.37282073497772217,0.7501632588331762,0.5890580173064865,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed5_native_bif_genes.h5ad,,239.0
native,z,nobif,10.0,4,1,Base Decipher (z),0.7187954316476769,,,,0.9735338220665103,0.967117844013478,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed4_native_nobif_z.h5ad,,307.5
native,genes,bif,1.0,4,1,Base Decipher (genes),0.8582262665637962,0.633330523226583,0.8977217005228283,0.15605856478214264,0.6570129291838449,0.5171458029586182,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed4_native_bif_genes.h5ad,,178.4
native,genes,bif,2.0,4,1,Base Decipher (genes),0.4360247476856243,0.5580817466418582,0.24043389791130276,0.004786974284797907,0.6752936541379058,0.5565994384094646,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed4_native_bif_genes.h5ad,,174.4
native,genes,bif,2.0,3,1,Base Decipher (genes),0.9266396810589401,0.9406562330777668,0.9300030831659621,0.4369087815284729,0.64982743423035,0.516279829147915,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed3_native_bif_genes.h5ad,,206.9
native,genes,bif,5.0,4,1,Base Decipher (genes),0.41632579210627246,0.2636625689640495,0.44618754331802113,0.0011757725151255727,0.7320623717914928,0.7982310496856952,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma5.0_seed4_native_bif_genes.h5ad,,149.0
native,genes,bif,1.0,3,1,Base Decipher (genes),0.959180900469912,0.9661661447235226,0.9782123325491163,0.4896976053714752,0.8023011080136503,0.7257502089697885,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed3_native_bif_genes.h5ad,,229.9
native,genes,bif,1.0,5,1,Base Decipher (genes),0.7363656371980043,0.5906130849925204,0.6188490816963585,0.13995851576328278,0.6462983945867693,0.49876899001676,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed5_native_bif_genes.h5ad,,224.7
