model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,wandb_run_id,wandb_url,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,2.0,5,3,Base Decipher (z),,,0.6313810969360618,0.5933493743721396,0.6504970252209372,0.1672415435314178,0.9396143196838034,0.8914081179198404,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma2.0_seed5_native_bif_z_decipherseed_3.h5ad,,203.6
native,z,bif,5.0,3,2,Base Decipher (z),,,0.7827356865337192,0.6580860633241807,0.6047261120166952,0.0098859276622533,0.9548153409560712,0.93257934174261,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed3_native_bif_z_decipherseed_2.h5ad,,229.5
native,z,bif,5.0,3,1,Base Decipher (z),tj33cddy,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/tj33cddy,0.833278568252743,0.7149262123918386,0.7122093638455534,0.0186017900705337,0.9537338936145664,0.9305790522211772,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed3_native_bif_z_decipherseed_1.h5ad,,275.7
native,z,bif,0.1,3,1,Base Decipher (z),i3nghlrk,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/i3nghlrk,0.9812139695772428,0.9917021695682572,0.9916404044074764,0.4744539856910705,0.9518703988662576,0.9103176245196384,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed3_native_bif_z_decipherseed_1.h5ad,,936.8
native,z,bif,5.0,4,1,Base Decipher (z),zkq14lfn,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/zkq14lfn,0.6358465383675468,0.4884551945729379,0.4690735337973528,0.0591926202178001,0.9592466451187006,0.9345666086865594,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed4_native_bif_z_decipherseed_1.h5ad,,222.8
native,z,bif,5.0,4,2,Base Decipher (z),xgmhjco3,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/xgmhjco3,0.7911238150880059,0.6561392366969465,0.664790371103307,0.0602690689265728,0.9593325096843004,0.9346265696032132,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed4_native_bif_z_decipherseed_2.h5ad,,225.1
native,z,bif,5.0,3,3,Base Decipher (z),f0aol0wo,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/f0aol0wo,0.7916391588969744,0.705068400663651,0.5800637485919656,0.0378663577139377,0.9542026710664716,0.9317361177720664,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed3_native_bif_z_decipherseed_3.h5ad,,237.6
native,z,bif,5.0,4,3,Base Decipher (z),,,0.7390895904569883,0.6025140005739785,0.4750663857555189,0.0728020444512367,0.9596621331446598,0.9333884000515232,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed4_native_bif_z_decipherseed_3.h5ad,,236.1
native,z,bif,5.0,5,2,Base Decipher (z),,,0.691451256615667,0.5493802398650925,0.5581950761404806,0.0194396115839481,0.959249185132612,0.9400325474348656,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma5.0_seed5_native_bif_z_decipherseed_2.h5ad,,182.6
native,z,bif,0.1,4,2,Base Decipher (z),nuyi8j2r,https://wandb.ai/jpark-columbia/decipher-bc-sigma-sweep/runs/nuyi8j2r,0.9812272523554963,0.97359795767378,0.9723929142587436,0.5004260540008545,0.8911279011386557,0.7903991060229236,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.1_seed4_native_bif_z_decipherseed_2.h5ad,,1141.3
