model,sigma,seed,rho,trained_h5ad
Decipher-VZ2,1.0,0,0.14976266441010336,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed0_decipher_vz2.h5ad
Decipher-VZ2,1.0,1,0.42615871548978307,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed1_decipher_vz2.h5ad
Decipher-VZ2,1.0,2,0.5859936366651322,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed2_decipher_vz2.h5ad
Decipher-VZ2,1.0,3,0.8312562563069559,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed3_decipher_vz2.h5ad
Decipher-VZ2,1.0,4,0.858863727109074,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed4_decipher_vz2.h5ad
Decipher-VZ2,2.0,0,0.2788559856655385,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed0_decipher_vz2.h5ad
Decipher-VZ2,2.0,1,0.32528262514853945,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed1_decipher_vz2.h5ad
Decipher-VZ2,2.0,2,0.01475119997687976,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed2_decipher_vz2.h5ad
Decipher-VZ2,2.0,3,0.5945557352385472,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed3_decipher_vz2.h5ad
Decipher-VZ2,2.0,4,0.7361326400329442,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed4_decipher_vz2.h5ad
Decipher-VZ2,5.0,0,0.320079381078144,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed0_decipher_vz2.h5ad
Decipher-VZ2,5.0,1,0.30306323841132565,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed1_decipher_vz2.h5ad
Decipher-VZ2,5.0,2,0.3195325457522987,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed2_decipher_vz2.h5ad
Decipher-VZ2,5.0,3,0.32399155032034543,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed3_decipher_vz2.h5ad
Decipher-VZ2,5.0,4,0.7845219921457475,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed4_decipher_vz2.h5ad
Decipher-VZ2,7.5,0,0.36008858340200117,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed0_decipher_vz2.h5ad
