ilisi,graph_conn,sil_batch,model,sigma,seed
0.11530810594558716,0.8440000000000001,0.611653,Decipher-MF,5.0,4
0.0,0.17679999999999998,0.285433,Decipher-MF,7.5,0
5.960464477539063e-08,0.1372,0.41273364,Decipher-MF,7.5,1
2.384185791015625e-07,0.166,0.54852283,Decipher-MF,7.5,2
0.10029929876327515,0.5996,0.6145226,Decipher-MF,7.5,3
0.043786823749542236,0.3,0.56145155,Decipher-MF,7.5,4
8.940696716308594e-08,0.15639999999999998,0.47136912,Decipher-MF,10.0,0
1.1920928955078125e-07,0.1832,0.4279371,Decipher-MF,10.0,1
1.1920928955078125e-07,0.17600000000000002,0.45822915,Decipher-MF,10.0,2
1.7881393432617188e-07,0.28,0.45804492,Decipher-MF,10.0,3
0.000209808349609375,0.23559999999999998,0.37970856,Decipher-MF,10.0,4
