,cell_id,group
473,aaefafgi-1,tumor
474,aaefandc-1,fibroblast
475,aaefepan-1,fibroblast
476,aaefgaje-1,tumor
477,aaefgecj-1,endothelial
478,aaefgjle-1,tumor
479,aaefglii-1,tumor
480,aaefkcdi-1,tumor
481,aaefmipl-1,mixed_APC
482,aaefohjh-1,macrophage
483,aaegcnco-1,tumor
484,aaegfdjd-1,fibroblast
485,aaegfooi-1,tumor
487,aaegmaab-1,mesenchymal
488,aaegnggf-1,tumor
489,aaehahbe-1,tumor
490,aaehckbh-1,tumor
491,aaehdeoj-1,fibroblast
492,aaehgldi-1,tumor
496,aaejflal-1,tumor
497,aaejjdfi-1,tumor
498,aaekbeac-1,fibroblast
499,aaekblmn-1,fibroblast
500,aaekcogn-1,tumor
501,aaekllnj-1,tumor
503,aaeknooo-1,macrophage
504,aaekomgf-1,tumor
505,aaelbhma-1,tumor
506,aaelcfbp-1,tumor
508,aaeljgji-1,tumor
510,aaelmjkp-1,tumor
511,aaelmjop-1,tumor
512,aaelmmga-1,tumor
514,aaelpgcp-1,tumor
515,aaelplhd-1,tumor
516,aaembnie-1,endothelial
517,aaemcdbn-1,plasma b
519,aaemlmkn-1,tumor
521,aaemnfko-1,tumor
522,aaempgln-1,tumor
523,aaenagfc-1,tumor
524,aaenffpb-1,tumor
525,aaenhpjc-1,tumor
526,aaeniijc-1,tumor
527,aaenipia-1,endothelial
528,aaenjoeo-1,tumor
529,aaeoabln-1,tumor
530,aaeoedig-1,tumor
533,aaeofeaa-1,tumor
535,aaeopepl-1,tumor
536,aaeopoho-1,CD8 EM
537,aaepcgnh-1,tumor
540,aafaaibg-1,tumor
541,aafachik-1,tumor
542,aafafeeh-1,tumor
543,aafaiojn-1,tumor
544,aafakaeg-1,tumor
545,aafakklo-1,tumor
546,aafakneg-1,fibroblast
547,aafalhpg-1,mixed_APC
548,aafaljdm-1,tumor
550,aafanddn-1,tumor
551,aafanmen-1,tumor
552,aafbdcpb-1,epithelial
553,aafbgehb-1,tumor
554,aafbhpbp-1,tumor
555,aafbmmfk-1,tumor
557,aafcdkhi-1,macrophage
558,aafcdmng-1,tumor
559,aafcklho-1,tumor
560,aafcnmln-1,mixed_immune
561,aafdddac-1,tumor
562,aafdfahk-1,tumor
563,aafdgldo-1,fibroblast
564,aafdhjil-1,tumor
565,aafdkmcp-1,tumor
566,aafdngeb-1,DC
567,aafdnkfo-1,tumor
568,aafedikp-1,DC
569,aafehpll-1,tumor
570,aaffahng-1,mixed_APC
571,aaffapom-1,fibroblast
572,aaffdnpl-1,tumor
573,aaffhafj-1,tumor
575,aaffkjpp-1,tumor
576,aafgckkd-1,tumor
577,aafgdekg-1,epithelial
578,aafgehpg-1,tumor
580,aafghoam-1,tumor
581,aafgicgh-1,tumor
582,aafgimop-1,tumor
583,aafgkkcn-1,tumor
584,aafhailf-1,tumor
585,aafhdneh-1,tumor
586,aafhgkil-1,mixed_immune
587,aafhjlnm-1,tumor
588,aafhmkic-1,tumor
589,aafibpfb-1,macrophage
590,aafieblk-1,tumor
591,aafilacg-1,tumor
592,aafildbh-1,fibroblast
593,aafiohhf-1,tumor
596,aafjhadb-1,macrophage
