model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-ZX,3,0.5,1,1,0.1,genes,0.9362577207773967,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed1_decipher_zx.h5ad,0.7865969417583293,0.6949293708897896,
Decipher-ZX,3,0.5,2,1,0.1,genes,0.8830503356251153,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed2_decipher_zx.h5ad,0.7893319625674973,0.6701588046161611,
Decipher-ZX,3,1.0,0,1,0.1,genes,0.8553553040373274,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed0_decipher_zx.h5ad,0.8747339857216869,0.8256703079652474,
Decipher-ZX,3,1.0,1,1,0.1,genes,0.9384132284704365,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed1_decipher_zx.h5ad,0.8833573364798858,0.8414801479322563,
Decipher-ZX,3,1.0,2,1,0.1,genes,0.8805236825377899,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed2_decipher_zx.h5ad,0.8782059500613737,0.8195432305146357,
Decipher-ZX2,3,0.1,0,1,0.1,genes,0.8809132022867863,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed0_decipher_zx2.h5ad,0.7279007055908049,0.49604591394846065,
Decipher-ZX2,3,0.1,1,1,0.1,genes,0.93532208130307,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed1_decipher_zx2.h5ad,0.74979476118501,0.5324774609609508,
Decipher-ZX2,3,0.1,2,1,0.1,genes,0.8749480722454018,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed2_decipher_zx2.h5ad,0.7287755814927476,0.486467048852819,
Decipher-ZX2,3,0.25,0,1,0.1,genes,0.8954347995849675,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed0_decipher_zx2.h5ad,0.6946942629289246,0.5065278162912781,
Decipher-ZX2,3,0.25,1,1,0.1,genes,0.9276663481036103,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed1_decipher_zx2.h5ad,0.7355762820055023,0.5680302981751266,
Decipher-ZX2,3,0.25,2,1,0.1,genes,0.8808254112320906,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed2_decipher_zx2.h5ad,0.7090434513149089,0.5348917145089125,
Decipher-ZX2,3,0.5,0,1,0.1,genes,0.8941006806561574,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed0_decipher_zx2.h5ad,0.7793473915911066,0.6709660437669054,
Decipher-ZX2,3,0.5,1,1,0.1,genes,0.9391867061909789,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed1_decipher_zx2.h5ad,0.7920213718412219,0.6984436328109784,
Decipher-ZX2,3,0.5,2,1,0.1,genes,0.8774290217864549,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed2_decipher_zx2.h5ad,0.7857314601259813,0.6685278959777614,
Decipher-ZX2,3,1.0,0,1,0.1,genes,0.8734920818315411,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed0_decipher_zx2.h5ad,0.8741277734516761,0.8260665731610133,
Decipher-ZX2,3,1.0,1,1,0.1,genes,0.9350708583485299,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed1_decipher_zx2.h5ad,0.8809482471746506,0.8375613216652438,
Decipher-ZX2,3,1.0,2,1,0.1,genes,0.8751943681534281,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed2_decipher_zx2.h5ad,0.8788601994846487,0.820133254628463,
Decipher-MF2,3,0.1,0,1,0.1,genes,0.8832867835784791,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed0_decipher_mf2.h5ad,0.7312133454745182,0.5058124866428227,
Decipher-MF2,3,0.1,1,1,0.1,genes,0.9340184245340636,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed1_decipher_mf2.h5ad,0.7545868828731269,0.5441168129617788,
Decipher-MF2,3,0.1,2,1,0.1,genes,0.8783447082506621,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed2_decipher_mf2.h5ad,0.7331946248905317,0.4937005793922643,
Decipher-MF2,3,0.25,0,1,0.1,genes,0.8473107354341609,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed0_decipher_mf2.h5ad,0.7186507268076732,0.5524910223182963,
Decipher-MF2,3,0.25,1,1,0.1,genes,0.9317425323494131,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed1_decipher_mf2.h5ad,0.76016876214739,0.6113195433415379,
Decipher-MF2,3,0.25,2,1,0.1,genes,0.8658152182807921,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed2_decipher_mf2.h5ad,0.7053294718270462,0.5247824600304962,
Decipher-MF2,3,0.5,0,1,0.1,genes,0.8889766508247149,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed0_decipher_mf2.h5ad,0.8011265515852465,0.7087680099166032,
Decipher-MF2,3,0.5,1,1,0.1,genes,0.9306469135148935,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed1_decipher_mf2.h5ad,0.8069838558420729,0.7147444448932325,
Decipher-MF2,3,0.5,2,1,0.1,genes,0.8778577354259519,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed2_decipher_mf2.h5ad,0.7900114040972704,0.6820474819075953,
Decipher-MF2,3,1.0,0,1,0.1,genes,0.6731382204941122,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed0_decipher_mf2.h5ad,0.8829239981009797,0.8387826041134951,
Decipher-MF2,3,1.0,1,1,0.1,genes,0.9345161137930776,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed1_decipher_mf2.h5ad,0.8888428904221923,0.851202761742825,
Decipher-MF2,3,1.0,2,1,0.1,genes,0.7868427503903611,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed2_decipher_mf2.h5ad,0.8845170872390277,0.8285368750502463,
Base Decipher,3,0.1,0,1,0.1,genes,0.8769379854164263,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed0_decipher.h5ad,0.6690603204632706,0.38932364201680314,
Base Decipher,3,0.1,1,1,0.1,genes,0.9209120561200115,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed1_decipher.h5ad,0.7011491976961625,0.4476773162483071,
